time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,shortwave_radiation_sum,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,city,zone,wind_zone
2010-01-01,29.9,22.5,26.0,33.0,24.4,28.2,21.02,0.0,0.0,17.9,37.8,20,4.89,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-02,30.0,23.3,26.1,32.9,25.4,29.0,17.98,0.0,0.0,17.7,36.0,20,4.09,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-03,29.5,22.9,25.8,33.3,25.6,29.1,18.05,0.2,1.0,16.6,34.9,16,3.83,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-04,28.7,21.7,25.2,31.5,23.0,27.5,18.46,0.0,0.0,18.2,38.2,4,4.12,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-05,28.0,21.1,24.4,30.0,22.6,25.8,23.54,0.0,0.0,17.4,36.0,3,5.04,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-06,28.6,21.1,24.8,30.5,22.6,26.0,22.34,0.0,0.0,19.8,37.1,18,5.18,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-07,29.2,21.8,25.7,33.1,24.0,28.2,19.0,0.0,0.0,15.1,30.2,14,4.41,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-08,28.3,23.2,25.4,31.9,25.7,29.1,12.89,0.9,5.0,15.2,27.0,8,2.86,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-09,29.0,22.9,25.7,35.4,27.6,31.1,17.1,3.3,8.0,10.0,27.7,195,3.39,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-10,29.9,22.5,26.2,35.8,27.2,31.3,19.24,0.2,1.0,5.7,19.4,3,3.91,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-11,29.6,22.2,26.3,35.8,26.4,31.5,20.04,0.0,0.0,6.1,14.8,246,4.05,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-12,29.7,23.6,25.9,36.4,28.6,31.3,19.22,4.7,8.0,9.4,24.1,1,3.82,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-13,29.9,23.2,26.0,36.4,28.1,31.3,18.57,2.1,6.0,5.9,23.0,187,3.74,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-14,30.0,22.8,25.9,37.1,27.1,31.4,19.91,0.7,2.0,9.1,27.7,32,3.99,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-15,30.6,22.9,26.4,33.8,25.3,28.7,22.05,0.0,0.0,16.1,34.9,23,5.25,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-16,31.0,23.4,26.5,35.0,25.5,30.0,19.58,0.4,1.0,16.5,38.9,25,4.24,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-17,29.7,24.0,26.4,32.5,26.6,29.2,16.8,0.4,1.0,20.0,42.8,19,3.9,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-18,29.3,23.7,26.0,33.2,26.6,29.3,15.44,0.3,2.0,12.5,33.8,17,3.51,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-19,30.8,23.5,26.6,35.5,26.1,30.3,19.89,0.2,1.0,13.0,32.0,28,4.28,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-20,31.2,23.2,26.9,34.6,24.9,29.1,23.04,0.0,0.0,14.3,33.5,24,5.45,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-21,31.0,22.2,26.4,33.1,24.2,27.9,23.88,0.0,0.0,19.9,42.8,20,5.86,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-22,31.2,21.6,26.0,32.8,23.2,27.6,24.28,0.0,0.0,19.0,41.4,14,5.71,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-23,30.8,21.4,25.7,32.7,22.3,27.4,23.67,0.0,0.0,15.7,37.4,17,5.25,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-24,30.6,22.3,26.6,34.0,24.7,29.7,20.5,0.0,0.0,7.4,21.2,2,4.32,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-25,31.4,22.8,27.2,34.4,26.4,30.4,20.22,0.0,0.0,11.6,29.9,21,4.58,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
2010-01-26,32.3,23.7,27.6,36.5,27.3,31.2,23.56,0.0,0.0,9.4,24.1,20,5.07,6.9000015,79.899994,27.0,Athurugiriya,Wet Zone,Zone III
